comic_no,vw_0,vw_1,vw_2,vw_3,vw_4,vw_5,vw_6,vw_7,vw_8,vw_9,vw_10,vw_11,vw_12,vw_13,vw_14,vw_15,vw_16,vw_17,vw_18,vw_19,vw_20,vw_21,vw_22,vw_23,vw_24,vw_25,vw_26,vw_27,vw_28,vw_29,vw_30,vw_31,vw_32,vw_33,vw_34,vw_35,vw_36,vw_37,vw_38,vw_39,vw_40,vw_41,vw_42,vw_43,vw_44,vw_45,vw_46,vw_47,vw_48,vw_49,vw_50,vw_51,vw_52,vw_53,vw_54,vw_55,vw_56,vw_57,vw_58,vw_59,vw_60,vw_61,vw_62,vw_63
876,0,0,0,0,0,0.24032143340855774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16573470064987,0,0,0,0.26678104776391204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5843884741965167,0.5097093912644951,0,0.47069677579091507,0,0,0,0,0,0,0,0,0.14400167756670532,0,0,0
877,0,0,0,0,0,0,0,0,0.38481803112377244,0,0,0,0,0,0,0,0,0,0,0,0,0.14159487358721065,0,0,0,0.45584694798945663,0,0,0,0,0,0.31870273898990886,0,0,0,0,0,0,0.46061956583405717,0,0.261067219453805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49210935914934234,0,0,0
878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2417930449784208,0,0.38338902669391944,0,0.3892112009641501,0,0,0,0,0,0,0,0,0.22729044364403933,0,0,0,0,0.3652903652910172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643295680707084,0,0,0,0.2100863848326608,0,0,0
879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1544741111774217,0,0,0,0.49731003912539934,0,0,0,0,0,0.3476914176907231,0,0,0.29041769389329064,0,0,0.485137545432612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536870819760748,0,0,0
880,0,0,0,0,0,0,0,0,0,0,0,0,0.4840936835608252,0,0,0,0,0,0,0,0,0.16659867374497328,0,0,0,0.5363435486169803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3916232564101217,0,0,0,0,0.5448532007234652,0,0,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0,0,0,0,0.48713373426125756,0.4643909824780949,0,0,0,0,0,0,0,0,0.1598180773830625,0,0,0,0.5145142685108633,0,0,0,0,0,0,0.42384617652958906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27772181876704133,0,0,0
882,0,0,0,0,0,0,0,0.41094038758014906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1273177465997666,0,0,0,0.40988352715080767,0,0,0.39245004587071963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3998509433369053,0,0,0.3915598294266155,0,0.3615902559360727,0,0,0,0,0,0,0,0,0.22124478485783494,0,0,0
883,0,0.36945555226969984,0,0,0,0,0.4063304179182746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15075680889808254,0,0,0,0.4853426503643413,0,0,0.4646996836455497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47346307849647695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,0,0,0,0,0,0,0,0.34263721478248016,0,0.2758989953615062,0,0,0,0,0,0,0,0,0,0,0,0.21231205014531365,0,0,0,0.34175601710790815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7099214098539802,0,0.32647793556011,0,0,0,0,0,0,0,0,0,0,0.1844712740824298,0,0,0
885,0,0,0,0,0,0,0,0,0,0,0,0,0.419066580699026,0,0,0,0,0,0,0,0.4584828076391081,0.28843977488719436,0,0,0,0.4642978510804278,0,0,0,0,0,0.32461113867078834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38370016256178013,0,0,0,0.2506162638110838,0,0,0
886,0,0,0,0,0,0,0,0,0,0,0,0.2853306606155324,0,0,0,0,0,0,0,0,0,0.09361083905873979,0.5681574273075792,0,0,0.301368363151765,0,0,0,0,0.2506633514070886,0.210699936031149,0,0,0.1759922345280909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5757915947027874,0,0,0,0,0,0,0,0,0,0,0.16267103762854584,0,0,0
887,0,0,0,0,0,0,0,0,0,0.37804242792590875,0,0,0,0,0,0,0,0,0,0,0,0.14545714965307202,0,0,0,0.4682810616851848,0,0,0,0,0,0.3273959771682462,0,0,0.27346543469680645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44734672288916366,0,0.4131072798211333,0,0,0,0,0,0,0,0,0.2527663003822502,0,0,0
888,0,0,0,0,0,0,0,0.47273826553638215,0,0,0,0,0,0,0,0,0.47900367058297544,0,0,0,0,0.1464639945808085,0,0,0,0.47152247273192477,0,0,0,0,0,0,0,0,0.5507166892930463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,0,0,0,0,0,0,0,0.6044236594474809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1872628260405022,0,0,0,0.6028691968842139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48595617634887933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,0,0,0,0,0,0,0,0,0.27665283700595455,0,0,0,0,0,0,0,0,0,0,0,0,0.10179518711482073,0,0,0,0.3277168458907963,0,0,0,0,0,0.2291213242935792,0,0,0,0,0,0,0,0,0,0.7924904415947102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35378656745442033,0,0,0
891,0,0,0,0,0,0,0.2896672805030947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10747242373475357,0,0,0,0.34599399760290545,0,0,0,0,0.2877807547509737,0,0.2850226747075781,0,0,0,0,0,0,0,0,0,0.6955742494561761,0.2526352678036405,0,0,0,0,0,0,0,0,0,0,0,0.27041985026628085,0,0,0,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10213045686149078,0,0,0,0.3287962048174357,0,0,0.3148115918677678,0,0,0,0,0,0.19200946703564914,0,0,0.3207483686297905,0,0,0,0,0,0,0,0,0.3207483686297905,0.34150015448730303,0,0.31409748708214213,0,0,0,0.3340129009521124,0,0,0.27172031260659996,0,0,0.3279566944237739,0.1774758944390109,0,0,0
893,0,0,0,0,0,0,0.3001198783627304,0.35940345336026225,0,0.28939953815145986,0,0,0,0,0,0,0.36416678303887723,0,0,0,0,0.11135054909412687,0,0,0,0.3584791361125422,0,0,0.34323202590989005,0,0,0.2506286003530422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34722486005684794,0.3497047606123012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,0,0,0,0,0,0,0,0,0,0,0,0.4798297978130194,0,0,0,0,0,0,0,0,0,0.15742181328064775,0,0,0,0.5067997965812727,0,0,0,0,0,0,0.417491154654753,0,0.29595949530310794,0,0,0,0,0.4756519914226169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,0,0,0,0,0,0,0,0,0,0,0,0.34568795660026175,0.3295488661648373,0,0,0,0,0,0,0,0,0.1134127667879873,0.3441711795877838,0,0,0.3651181874992235,0,0,0,0,0,0.25527025446647283,0,0,0,0,0,0,0,0,0,0,0,0,0.27210030749812253,0,0,0,0,0.3487957084090132,0,0,0,0,0,0,0.30173714474815977,0,0,0,0.3941631682662227,0,0,0
896,0,0.32352215837957865,0,0,0.3675314011337662,0,0,0,0.35877870082368046,0,0,0,0,0,0,0,0,0,0,0,0,0.26402725797728044,0,0,0,0.4250013319191211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3988808425896367,0,0,0,0,0,0.411658624264431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22940499438549825,0,0,0
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2267449173540681,0,0,0,0.7299768411764693,0,0,0,0,0,0.5103590573727464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3940230784582573,0,0,0
