comic_no,vw_0,vw_1,vw_2,vw_3,vw_4,vw_5,vw_6,vw_7,vw_8,vw_9,vw_10,vw_11,vw_12,vw_13,vw_14,vw_15,vw_16,vw_17,vw_18,vw_19,vw_20,vw_21,vw_22,vw_23,vw_24,vw_25,vw_26,vw_27,vw_28,vw_29,vw_30,vw_31,vw_32,vw_33,vw_34,vw_35,vw_36,vw_37,vw_38,vw_39,vw_40,vw_41,vw_42,vw_43,vw_44,vw_45,vw_46,vw_47,vw_48,vw_49,vw_50,vw_51,vw_52,vw_53,vw_54,vw_55,vw_56,vw_57,vw_58,vw_59,vw_60,vw_61,vw_62,vw_63
399,0,0,0,0,0,0,0,0,0.14042719640637952,0,0,0,0,0.2914802085552892,0,0,0.15367174595711086,0.15523717402347334,0,0.41151444808442383,0,0.30878075525199794,0,0,0,0.1256836257105292,0,0,0.2483897786263023,0,0,0,0.13086024050715897,0,0,0,0,0.13611554947900692,0,0,0.13086024050715897,0,0,0,0.40949365578156055,0,0,0,0,0,0.1522539057129958,0,0.2461123518629749,0,0,0.15097631905875883,0.2527089005198075,0,0,0.2595945451462337,0.14392892249610625,0,0.16262844044568903,0
400,0,0,0,0.2874099544797498,0,0.7356929642144555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24938677646515808,0,0,0,0,0,0,0,0,0.22579447630645327,0,0.25204691201454715,0,0,0,0,0,0,0.24746702043658908,0,0,0,0,0,0,0.24816213203125645,0,0,0,0,0,0.27680761339055887,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0.33114118011622784,0,0.28254441965329274,0,0,0,0,0,0,0,0,0,0,0,0.16258733308900045,0,0,0,0,0,0,0.16504393246631768,0.2632689707961467,0.27580234442294765,0,0,0,0,0,0,0,0,0,0,0.2851206783549055,0,0,0,0,0,0,0,0,0,0,0,0.15574624711212645,0,0,0.515530525228605,0,0.1563344552479999,0.3162494709114701,0.26467414420437874,0,0,0.13594290493009167,0,0,0,0.16478186228356315
402,0,0,0,0.35018846608641885,0.3465940480300232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30710112897781244,0,0,0,0.32141439004369604,0,0,0.6030417175391986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318828910281865,0.30710112897781244,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4334642985026009,0,0,0,0,0,0,0,0,0,0.7181995881395355,0,0,0,0,0,0,0,0,0,0,0,0.3745703224909635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39496218430232666,0,0,0
404,0,0,0.13773032007853397,0,0,0.11958017837241937,0,0,0.1244929227050061,0,0,0.1349776553297491,0.14683111864948664,0,0,0,0,0.1376224121908759,0.1251208492921596,0.12160663482191414,0,0,0.14003588134818293,0.12100947048717657,0,0,0,0.1392588506720326,0.22020499093174967,0,0.6145188855197052,0.12152101154431909,0.1160115292729447,0,0,0,0,0,0,0.1345636598908027,0.1160115292729447,0,0,0,0,0,0,0,0,0,0,0,0.1090929918893997,0,0.13232964973968106,0,0.11201701103622633,0,0,0.11506917630829779,0.255194615884371,0.12290377710394106,0.4325249748798891,0
405,0,0,0.3602096975873771,0.18326583212772418,0,0.15637057934815288,0.1997264414398592,0,0,0,0,0,0,0,0,0,0.17814896825050316,0.17996374163747758,0,0,0,0.5369461961384954,0,0,0,0,0.3052785288480747,0,0,0.19120452522229078,0.1607167265628714,0,0.15170398882478714,0,0,0.18623786254378008,0,0,0,0,0,0,0,0,0.15823961181728224,0,0,0,0,0,0.17650529084539557,0,0,0,0.34608518362111257,0.17502420697480267,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5419092268635298,0,0.47884466206288545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5314950935618447,0,0,0,0,0,0.44108405658529354,0,0,0,0,0,0,0
407,0,0,0,0,0,0.34320343537113723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395916454806494,0,0,0,0,0,0.33501391464577857,0,0,0,0.3527423950714724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37836632640372114,0,0,0.3131044801986448,0,0.3797953056289541,0,0.3214966186779543,0,0,0,0,0,0,0
408,0,0.346842077301331,0,0,0,0,0.3897568434871956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3136312027048332,0,0,0,0.32824881514300064,0,0,0,0,0,0,0,0,0,0,0,0,0.36051096658166537,0,0,0,0,0.5567764809051405,0,0,0,0.2858498796581386,0,0,0,0,0,0,0
