comic_no,Book Title,Vol,Issue,Year,Month,genre,link,our_idx,img_folderpath,_old_comic_no
222,Jungle Comics: Kaanga and Skulls for Sale on Dismal River,1,125,1950,May,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=13868,230,,3681
223,Jungle Comics: Kaanga and ,,,,,,,231,,3682
224,Jungle Comics: Kaanga and ,,,,,,,232,,3683
225,Jungle Comics: Kaanga and ,,,,,,,233,,3684
226,Jungle Comics: Kaanga and ,,,,,,,234,,3685
227,book_3686,,,,,,,235,,3686
228,book_3687,,,,,,,236,,3687
229,book_3688,,,,,,,237,,3688
230,book_3689,,,,,,,238,,3689
231,book_3690,,,,,,,239,,3690
232,book_3691,,,,,,,240,,3691
233,book_3692,,,,,,,241,,3692
234,book_3693,,,,,,,242,,3693
235,book_3694,,,,,,,243,,3694
236,book_3695,,,,,,,244,,3695
237,book_3696,,,,,,,245,,3696
238,book_3697,,,,,,,246,,3697
239,book_3698,,,,,,,247,,3698
240,book_3699,,,,,,,248,,3699
241,book_3700,,,,,,,249,,3700
242,book_3701,,,,,,,250,,3701
243,book_3702,,,,,,,251,,3702
244,book_3703,,,,,,,252,,3703
245,book_3704,,,,,,,253,,3704
246,book_3705,,,,,,,254,,3705
247,book_3706,,,,,,,255,,3706
248,book_3707,,,,,,,256,,3707
249,book_3708,,,,,,,257,,3708
250,book_3709,,,,,,,258,,3709
251,book_3710,,,,,,,259,,3710
252,book_3711,,,,,,,260,,3711
253,book_3712,,,,,,,261,,3712
254,book_3713,,,,,,,262,,3713
255,book_3714,,,,,,,263,,3714
256,book_3715,,,,,,,264,,3715
257,book_3716,,,,,,,265,,3716
258,book_3717,,,,,,,266,,3717
259,book_3718,,,,,,,267,,3718
260,book_3719,,,,,,,268,,3719
261,book_3720,,,,,,,269,,3720
262,book_3721,,,,,,,270,,3721
263,book_3722,,,,,,,271,,3722
264,book_3723,,,,,,,272,,3723
265,book_3724,,,,,,,273,,3724
266,book_3725,,,,,,,274,,3725
267,book_3726,,,,,,,275,,3726
268,book_3727,,,,,,,276,,3727
269,book_3728,,,,,,,277,,3728
270,book_3729,,,,,,,278,,3729
271,book_3730,,,,,,,279,,3730
272,book_3731,,,,,,,280,,3731
273,book_3732,,,,,,,281,,3732
274,book_3733,,,,,,,282,,3733
275,book_3734,,,,,,,283,,3734
276,book_3735,,,,,,,284,,3735
277,book_3736,,,,,,,285,,3736
278,book_3737,,,,,,,286,,3737
279,book_3738,,,,,,,287,,3738
280,book_3739,,,,,,,288,,3739
281,book_3740,,,,,,,289,,3740
282,book_3741,,,,,,,290,,3741
283,book_3742,,,,,,,291,,3742
284,book_3743,,,,,,,292,,3743
285,book_3744,,,,,,,293,,3744
286,book_3745,,,,,,,294,,3745
287,book_3746,,,,,,,295,,3746
288,book_3747,,,,,,,296,,3747
289,book_3748,,,,,,,297,,3748
290,book_3749,,,,,,,298,,3749
291,book_3750,,,,,,,299,,3750
292,book_3751,,,,,,,300,,3751
293,book_3752,,,,,,,301,,3752
294,book_3753,,,,,,,302,,3753
295,book_3754,,,,,,,303,,3754
296,book_3755,,,,,,,304,,3755
297,book_3756,,,,,,,305,,3756
298,book_3757,,,,,,,306,,3757
299,book_3758,,,,,,,307,,3758
300,book_3759,,,,,,,308,,3759
301,book_3760,,,,,,,309,,3760
302,book_3761,,,,,,,310,,3761
303,book_3762,,,,,,,311,,3762
304,book_3763,,,,,,,312,,3763
305,book_3764,,,,,,,313,,3764
306,book_3765,,,,,,,314,,3765
307,book_3766,,,,,,,315,,3766
308,book_3767,,,,,,,316,,3767
309,book_3768,,,,,,,317,,3768
310,book_3769,,,,,,,318,,3769
311,book_3770,,,,,,,319,,3770
312,book_3771,,,,,,,320,,3771
313,book_3772,,,,,,,321,,3772
314,book_3773,,,,,,,322,,3773
315,book_3774,,,,,,,323,,3774
316,book_3775,,,,,,,324,,3775
317,book_3776,,,,,,,325,,3776
318,book_3777,,,,,,,326,,3777
319,book_3778,,,,,,,327,,3778
320,book_3779,,,,,,,328,,3779
321,book_3780,,,,,,,329,,3780
322,book_3781,,,,,,,330,,3781
323,book_3782,,,,,,,331,,3782
324,book_3783,,,,,,,332,,3783
325,book_3784,,,,,,,333,,3784
326,book_3785,,,,,,,334,,3785
327,book_3786,,,,,,,335,,3786
328,book_3787,,,,,,,336,,3787
329,book_3788,,,,,,,337,,3788
330,book_3789,,,,,,,338,,3789
331,book_3790,,,,,,,339,,3790
332,book_3791,,,,,,,340,,3791
333,book_3792,,,,,,,341,,3792
334,book_3793,,,,,,,342,,3793
335,book_3794,,,,,,,343,,3794
336,book_3795,,,,,,,344,,3795
337,book_3796,,,,,,,345,,3796
338,book_3797,,,,,,,346,,3797
339,book_3798,,,,,,,347,,3798
340,book_3799,,,,,,,348,,3799
341,book_3800,,,,,,,349,,3800
342,book_3801,,,,,,,350,,3801
343,book_3802,,,,,,,351,,3802
344,book_3803,,,,,,,352,,3803
345,book_3804,,,,,,,353,,3804
346,book_3805,,,,,,,354,,3805
347,book_3806,,,,,,,355,,3806
348,book_3807,,,,,,,356,,3807
349,book_3808,,,,,,,357,,3808
350,book_3809,,,,,,,358,,3809
351,book_3810,,,,,,,359,,3810
352,book_3811,,,,,,,360,,3811
353,book_3812,,,,,,,361,,3812
354,book_3813,,,,,,,362,,3813
355,book_3814,,,,,,,363,,3814
356,book_3815,,,,,,,364,,3815
357,book_3816,,,,,,,365,,3816
358,book_3817,,,,,,,366,,3817
359,book_3818,,,,,,,367,,3818
360,book_3819,,,,,,,368,,3819
361,book_3820,,,,,,,369,,3820
362,book_3821,,,,,,,370,,3821
363,book_3822,,,,,,,371,,3822
364,book_3823,,,,,,,372,,3823
365,book_3824,,,,,,,373,,3824
366,book_3825,,,,,,,374,,3825
367,book_3826,,,,,,,375,,3826
368,book_3827,,,,,,,376,,3827
369,book_3828,,,,,,,377,,3828
370,book_3829,,,,,,,378,,3829
371,book_3830,,,,,,,379,,3830
372,book_3831,,,,,,,380,,3831
373,book_3832,,,,,,,381,,3832
374,book_3833,,,,,,,382,,3833
375,book_3834,,,,,,,383,,3834
376,book_3835,,,,,,,384,,3835
377,book_3836,,,,,,,385,,3836
378,book_3837,,,,,,,386,,3837
379,book_3838,,,,,,,387,,3838
380,book_3839,,,,,,,388,,3839
381,book_3840,,,,,,,389,,3840
382,book_3841,,,,,,,390,,3841
383,book_3842,,,,,,,391,,3842
384,book_3843,,,,,,,392,,3843
385,book_3844,,,,,,,393,,3844
386,book_3845,,,,,,,394,,3845
387,book_3846,,,,,,,395,,3846
388,book_3847,,,,,,,396,,3847
389,book_3848,,,,,,,397,,3848
390,book_3849,,,,,,,398,,3849
391,book_3850,,,,,,,399,,3850
392,book_3851,,,,,,,400,,3851
393,book_3852,,,,,,,401,,3852
394,book_3853,,,,,,,402,,3853
395,book_3854,,,,,,,403,,3854
396,book_3855,,,,,,,404,,3855
397,book_3856,,,,,,,405,,3856
398,book_3857,,,,,,,406,,3857
399,book_3858,,,,,,,407,,3858
400,book_3859,,,,,,,408,,3859
401,book_3860,,,,,,,409,,3860
402,book_3861,,,,,,,410,,3861
403,book_3862,,,,,,,411,,3862
404,book_3863,,,,,,,412,,3863
405,book_3864,,,,,,,413,,3864
